 System Location      ROM Location                    Description
-----------------  -----------------  ------------------------------------------
0xC091D5-0xC091FF  0x0091D5-0x0091FF  Map Animation Properties Pointer Table
0xC091FF-0xC0979F  0x0091FF-0x00979F  Map Animation Properties
0xC0979F-0xC097AD  0x00979F-0x0097AD  Map Animation Properties (Layer 3) Pointer Table
0xC097AD-0xC09825  0x0097AD-0x009825  Map Animation Properties (Layer 3)
0xC09825-0xC0989D  0x009825-0x00989D  Map Palette Animation
0xC0CE3A-0xC0D0F2  0x00CE3A-0x00D0F2  Map Sprite Layouts
0xC0D0F2-0xC0D386  0x00D0F2-0x00D386  Map Sprite Graphics Pointers
0xC0E2A0-0xC0EC20  0x00E2A0-0x00EC20  Map Overlay Graphics
0xC0EEA0-0xC0F4A0  0x00EEA0-0x00F4A0  Map Overlay Layout
0xC0F4A0-0xC0F500  0x00F4A0-0x00F500  Map Overlay Properties Pointer Table
0xC0F500-0xC0FD00  0x00F500-0x00FD00  Map Overlay Properties
0xC0FE00-0xC0FE40  0x00FE00-0x00FE40  Map Color Math Properties
0xC0FE40-0xC0FEE8  0x00FE40-0x00FEE8  Map Parallax
0xC0FFB0-0xC0FFE0  0x00FFB0-0x00FFE0  SNES Header
0xC2686C-0xC28A60  0x02686C-0x028A60  Cinematic Program
0xC2953C-0xC2973C  0x02953C-0x02973C  Ending/Credits Background Palette
0xC2ADE1-0xC2AF21  0x02ADE1-0x02AF21  Status Name
0xC2D01A-0xC2D034  0x02D01A-0x02D034  Battle VRAM Map Pointer Table
0xC2D034-0xC2D0F4  0x02D034-0x02D0F4  Battle VRAM Map
0xC40000-0xC40342  0x040000-0x040342  Event Triggers Pointer Table
0xC40342-0xC419FE  0x040342-0x0419FE  Event Triggers
0xC41A10-0xC41D52  0x041A10-0x041D52  NPC Properties Pointer Table
0xC41D52-0xC46A6B  0x041D52-0x046A6B  NPC Properties
0xC46AC0-0xC478C0  0x046AC0-0x0478C0  Attack Properties
0xC478C0-0xC47A40  0x0478C0-0x047A40  Character Name
0xC47A40-0xC47AA0  0x047A40-0x047AA0  Blitz Code
0xC47AA0-0xC47AC0  0x047AA0-0x047AC0  Initial Rage
0xC47AC0-0xC47F40  0x047AC0-0x047F40  Shop Properties
0xC47F40-0xC47FA8  0x047F40-0x047FA8  Metamorphosis Items
0xC487C0-0xC48FC0  0x0487C0-0x048FC0  Small Font Graphics
0xC490C0-0xC4A4C0  0x0490C0-0x04A4C0  Large Font Graphics
